Emoji_0,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Emoji_6,Emoji_7,Emoji_8,Emoji_9,Emoji_10,Emoji_11,Emoji_12,Emoji_13,Emoji_14,Emoji_15,Emoji_16,Emoji_17,Emoji_18,Emoji_19,Emoji_20,Emoji_21,Emoji_22,Emoji_23,Emoji_24,Emoji_25,Emoji_26,Emoji_27,Emoji_28,Emoji_29,Emoji_30,Emoji_31,Emoji_32,Emoji_33,Emoji_34,Emoji_35,Emoji_36,Emoji_37,Emoji_38,Emoji_39,Emoji_40,Emoji_41,Emoji_42,Emoji_43,Emoji_44,Emoji_45,Emoji_46,Emoji_47,Emoji_48,Emoji_49,Emoji_50,Emoji_51,Emoji_52,Emoji_53,Emoji_54,Emoji_55,Emoji_56,Emoji_57,Emoji_58,Emoji_59,Emoji_60,Emoji_61,Emoji_62,Emoji_63
0.70572891,0.310344188,0.21707507,0.32465317,0.381449234,0.24703148,0.512126642,0.270599294,0.254444437,0.269175153,0.37334844,0.227046719,0.88052128,0.305700885,0.215993268,0.193548231,0.259260039,0.59519348,0.143345598,0.522505692,0.46196338,0.31682468,0.56223748,0.050174751,0.224662179,0.64276465,0.162633285,0.35179134,0.45911932,0.26562172,0.348528032,0.514739075,0.70690777,1.00982599,0.52333266,0.33575381,0.170635713,0.412725148,0.23151138,0.352321523,0.77738243,0.57995723,0.75991156,0.32146611,0.431056396,0.38311527,0.29160396,0.251166841,0.1538575361,0.34026934,0.280421307,0.406129336,0.35084327,0.55093795,0.328291353,0.606890952,0.218821863,0.680428308,0.59756099,0.169110875,0.13506718,0.238197472,0.59402464,0.240322451
0.69827919,0.27788885,0.24481642,0.3932673,0.309753647,0.20158285,0.62070051,0.14243429,0.147202367,0.30657226,0.3157352,0.500747532,1.05471208,0.36499597,0.239121464,0.16197068,0.15400205,0.51283888,0.072012592,0.45313673,0.45526441,0.31325049,0.54308887,0.033774098,0.19635491,0.61109981,0.15918103,0.2593997,0.44849397,0.2930215,0.28445564,0.58438574,0.63673667,0.79097569,0.52009268,0.35873278,0.127779461,0.43679228,0.23873846,0.54895169,0.68372498,0.73666764,0.86941347,0.31001975,0.69013664,0.38534922,0.33813723,0.169011255,0.34474655,0.36942263,0.21308119,0.61330474,0.46693493,0.38360836,0.28925942,0.53067587,0.28830668,0.65708819,0.55714219,0.088056969,0.069108724,0.161974021,0.58886147,0.183628015
0.85907078,0.36309439,0.26931205,0.4469811,0.122397841,0.25577555,0.36640115,0.14002645,0.111375631,0.25826651,0.2986338,0.331265784,0.9290173,0.22918182,0.36483752,0.12334016,0.132364603,0.34866172,0.051636156,0.62297653,0.49386398,0.33436858,0.6183406,0.028547252,0.150784197,0.7394094,0.13287119,0.35822476,0.45532436,0.33384526,0.2929014,0.44103311,0.66011818,0.81386242,0.66506272,0.39565381,0.09097502,0.42011165,0.25888771,0.50535048,0.61629787,0.78337764,1.15304464,0.37738905,0.49991477,0.43507753,0.4129495,0.127003103,0.228620678,0.3567102,0.23405412,0.82126885,0.45257577,0.44366262,0.29354505,0.58546373,0.29780218,0.485249,0.58045013,0.072960986,0.054549361,0.139224115,0.57957784,0.155079874
0.73644668,0.30057847,0.25065137,0.38140341,0.248885065,0.26070054,0.49370583,0.15574823,0.18772577,0.29973694,0.31299051,0.43131,0.80106518,0.29453654,0.37197366,0.17520013,0.18955624,0.43572988,0.104254829,0.47138858,0.46271433,0.28657676,0.56824607,0.053564822,0.270944314,0.59989848,0.222730331,0.38332511,0.42708874,0.3064344,0.30471658,0.45713644,0.79891367,0.7478065,0.70439481,0.40374459,0.163419762,0.43475296,0.25055151,0.38397462,0.6270271,0.67215851,0.84239931,0.34712039,0.49672843,0.44252732,0.48595205,0.23043506,0.317897557,0.32628921,0.22433413,0.46330317,0.40028554,0.43022162,0.28966311,0.65335347,0.21945019,0.6204403,0.5976984,0.121058526,0.095296011,0.20933043,0.59063468,0.161871069
0.52175635,0.27189433,0.24757952,0.39942624,0.259388726,0.330324108,0.48930199,0.20569355,0.17732934,0.28631277,0.3931744,0.22830948,0.76666185,0.291953019,0.18404846,0.23532837,0.19728667,0.59685916,0.098981993,0.4519023,0.53470075,0.60078937,0.50690172,0.048130955,0.165931441,0.55084622,0.15231441,0.41403754,0.39322862,0.32716473,0.31552425,0.5049959,0.483181402,1.01826794,0.75816107,0.52384377,0.13928397,0.36237769,0.15826165,0.383987222,0.7111975,0.62680361,0.7713149,0.42732577,0.54700139,0.55644933,0.535043364,0.18527852,0.159061385,0.25716158,0.25608545,0.37764803,0.45909224,0.43462665,0.30824152,0.448582236,0.19128745,0.85154527,0.5478222,0.13440913,0.09502753,0.25587849,0.660619,0.227053991
0.53892134,0.32581319,0.21161787,0.35989903,0.26181739,0.23333647,0.47589672,0.16669783,0.177325404,0.28862013,0.36579642,0.340385925,0.63541406,0.27152953,0.18814265,0.1616854,0.185303194,0.45110031,0.088747525,0.56391532,0.43891601,0.32733864,0.51975973,0.041370412,0.22181128,0.58051581,0.16157091,0.33614088,0.41251809,0.30036076,0.39143512,0.54549997,1.17912227,1.06875744,0.53848586,0.38067513,0.149648288,0.55819208,0.22453596,0.33409448,0.62710361,0.65505041,0.64839232,0.38964005,0.54392475,0.44871144,0.34150486,0.201116159,0.268421772,0.26908188,0.24490233,0.45907809,0.40745263,0.44810372,0.33610881,0.94241693,0.24686895,0.64619904,0.6551668,0.11604436,0.081954834,0.213372249,0.62603,0.180636588
0.6668656,0.32681472,0.26241881,0.38850873,0.144756079,0.37207712,0.45604896,0.14867066,0.111925677,0.25205816,0.32306768,0.154332668,0.81702602,0.32681749,0.213603209,0.15421972,0.12797138,0.42841543,0.050017646,0.55979531,0.57606292,0.28309275,0.6883204,0.029804696,0.1049003219,0.66379691,0.16280379,0.4903609,0.42119111,0.32734877,0.33700859,0.43107977,1.00715756,0.8737033,0.95360691,0.463429,0.102638458,0.51259185,0.21814788,0.3933428,0.84623281,0.60437634,0.73979447,0.39639621,0.4404155,0.52276178,0.65479806,0.111096309,0.110180563,0.25048598,0.21841585,0.37480447,0.43220415,0.41341558,0.28525778,0.72396208,0.23396788,0.67491588,0.63905296,0.065812087,0.051306154,0.128377465,0.63067192,0.125499554
0.40728796,0.30398825,0.20911946,0.30580626,0.206033604,0.27700829,0.50635472,0.22116174,0.234374167,0.28045257,0.36498312,0.430988977,0.61293671,0.26798825,0.26436122,0.20845257,0.20418033,0.47884913,0.120189594,0.52195065,0.49005099,0.443663,0.47600021,0.051207031,0.263032113,0.57833009,0.197683368,0.37636381,0.38211531,0.29306334,0.40118983,0.54009276,0.5591898,0.94686425,0.57174175,0.4172644,0.132910875,0.42072313,0.17855781,0.30528812,0.64032529,0.51352687,1.02957085,0.39843029,0.50781804,0.47512,0.51729291,0.254290743,0.326955227,0.2668863,0.25523927,0.50703256,0.42266594,0.45694878,0.29958655,0.50232219,0.24607913,0.72381423,0.5849367,0.17129835,0.11731606,0.439678803,0.60608559,0.28497972
0.80530244,0.30002847,0.22180634,0.45138085,0.206911877,0.25864507,0.41897073,0.21118132,0.23389353,0.259006011,0.34722347,0.127374541,0.64168214,0.23248052,0.26901782,0.19083901,0.208718972,0.46241238,0.1043185524,0.5153332,0.52194521,0.48192501,0.44528317,0.045020178,0.204895827,0.58438805,0.125335389,0.34425169,0.42237813,0.29089683,0.392019077,0.420673272,0.9180632,0.9554349,0.65818382,0.4552469,0.172424432,0.47538707,0.24300115,0.52792785,0.67741552,0.469092663,0.67196115,0.36217508,0.41486773,0.44789601,0.766111564,0.228716759,0.0800611698,0.28359609,0.251744368,0.4080876,0.413472,0.56155026,0.356827588,0.72454136,0.27305088,0.554758271,0.63100727,0.140341191,0.114811592,0.243328435,0.56651609,0.206860824
0.69483406,0.339806281,0.27059968,0.41009693,0.236653848,0.32129245,0.42873289,0.17199767,0.147626721,0.26815673,0.32651762,0.292605182,0.92061085,0.28177271,0.2472575,0.15849749,0.16064977,0.47557339,0.078495032,0.56311607,0.47802922,0.47798511,0.63102332,0.039602337,0.189359545,0.67034902,0.17428535,0.4136299,0.4437584,0.34022954,0.30237714,0.42442078,0.843977843,0.75243999,0.70969455,0.41397586,0.115315228,0.47941686,0.26339737,0.32541887,0.67683211,0.7162115,0.90494985,0.37847791,0.47321012,0.4865415,0.47360146,0.165641554,0.239274919,0.3353923,0.22254525,0.46608396,0.42476821,0.4176692,0.28897455,0.670661882,0.22446729,0.49464388,0.53392272,0.098434127,0.077720833,0.150317832,0.64508145,0.150999176
